Section,Index,X_mm,Y_mm,Z_mm,FHNode_InternalName,Label,SegWidth_mm,SegHeight_mm
Section-2,47,22.04075602,-10.49144575,1.0,FHNode146,Section-2_Node_47,0.25,0.035
Section-2,48,23.18197519,-7.61369487,1.0,FHNode147,Section-2_Node_48,0.25,0.035
Section-2,49,23.9493897,-4.61586652,1.0,FHNode148,Section-2_Node_49,0.25,0.035
Section-2,50,24.33096558,-1.54627836,1.0,FHNode149,Section-2_Node_50,0.25,0.035
Section-2,51,24.3208849,1.54563772,1.0,FHNode150,Section-2_Node_51,0.25,0.035
Section-2,52,23.91963429,4.61013164,1.0,FHNode151,Section-2_Node_52,0.25,0.035
Section-2,53,23.1339918,7.59793561,1.0,FHNode152,Section-2_Node_53,0.25,0.035
Section-2,54,21.97691273,10.46105621,1.0,FHNode153,Section-2_Node_54,0.25,0.035
Section-2,55,20.46731607,13.15354534,1.0,FHNode154,Section-2_Node_55,0.25,0.035
Section-2,56,18.62977528,15.63223756,1.0,FHNode155,Section-2_Node_56,0.25,0.035
Section-2,57,16.49411831,17.85744213,1.0,FHNode156,Section-2_Node_57,0.25,0.035
Section-2,58,14.09494347,19.79357853,1.0,FHNode157,Section-2_Node_58,0.25,0.035
Section-2,59,11.47105892,21.40974539,1.0,FHNode158,Section-2_Node_59,0.25,0.035
Section-2,60,8.66485499,22.68021364,1.0,FHNode159,Section-2_Node_60,0.25,0.035
Section-2,61,5.72161932,23.58483605,1.0,FHNode160,Section-2_Node_61,0.25,0.035
Section-2,62,2.68880598,24.10936669,1.0,FHNode161,Section-2_Node_62,0.25,0.035
Section-2,63,-0.38472959,24.24568513,1.0,FHNode162,Section-2_Node_63,0.25,0.035
Section-2,64,-3.44951761,23.99192199,1.0,FHNode163,Section-2_Node_64,0.25,0.035
Section-2,65,-6.45627022,23.35248381,1.0,FHNode164,Section-2_Node_65,0.25,0.035
Section-2,66,-9.35667406,22.33797691,1.0,FHNode165,Section-2_Node_66,0.25,0.035
Section-2,67,-12.10416667,20.96503165,1.0,FHNode166,Section-2_Node_67,0.25,0.035
Section-2,68,-14.65468391,19.25602989,1.0,FHNode167,Section-2_Node_68,0.25,0.035
Section-2,69,-16.9673667,17.2387402,1.0,FHNode168,Section-2_Node_69,0.25,0.035
Section-2,70,-19.00521554,14.9458667,1.0,FHNode169,Section-2_Node_70,0.25,0.035
